iter	RMSE
165	17772.21316
166	17729.53693
167	17694.76146
168	17652.95675
169	17618.39898
170	17569.27349
171	17526.39185
172	17506.77152
173	17466.06219
174	17422.74202
175	17374.20812
176	17329.0425
177	17288.53038
178	17255.01607
179	17218.19896
180	17183.56754
181	17166.18173
182	17151.35302
183	17105.08569
184	17051.66579
185	17001.6568
186	16953.22277
187	16910.85001
188	16853.89054
189	16835.63749
190	16800.1536
191	16749.68029
192	16725.53861
193	16675.77312
194	16664.34136
195	16635.2527
196	16589.71475
197	16553.57175
198	16540.48251
199	16522.12822
200	16501.18962
201	16488.27161
202	16410.52608
203	16373.81084
204	16331.89602
205	16298.32366
206	16279.75292
207	16224.28109
208	16189.73585
209	16146.10072
210	16132.32487
211	16121.01117
212	16090.06134
213	16063.01968
214	16047.33845
215	16003.78508
216	15962.35159
217	15947.75589
218	15917.42536
219	15897.90475
220	15879.27596
221	15857.41576
222	15825.49424
223	15790.69692
224	15783.42401
225	15741.16567
226	15709.11743
227	15689.10167
228	15642.01571
229	15615.12235
230	15590.71355
231	15581.27405
232	15555.13177
233	15512.3374
234	15469.95893
235	15428.86853
236	15399.27733
237	15357.139
238	15323.54893
239	15296.59686
240	15264.77136
241	15219.47781
242	15151.67509
243	15135.66599
244	15080.98615
245	15037.75639
246	15007.44258
247	14957.77731
248	14919.65607
249	14873.00027
250	14820.93925
251	14787.53859
252	14760.23512
253	14738.3436
254	14714.03465
255	14672.70604
256	14630.97933
257	14596.83016
258	14547.86122
259	14521.02187
260	14491.15046
261	14463.73282
262	14439.12766
263	14403.37369
264	14396.57825
265	14381.94984
266	14352.70065
267	14313.33877
268	14290.71902
269	14255.51783
270	14221.98792
271	14189.10181
272	14162.77675
273	14141.57412
274	14097.78595
275	14070.43976
276	14036.55171
277	14006.58667
278	13994.99738
279	13961.50339
280	13925.39679
281	13913.71636
282	13902.28661
283	13859.10572
284	13820.14655
285	13790.50661
286	13777.54267
287	13726.78521
288	13686.40897
289	13675.29708
290	13634.92235
291	13601.51686
292	13567.40875
293	13523.7438
294	13491.59409
295	13478.60347
296	13450.09185
297	13436.41747
298	13419.10372
299	13384.22346
300	13347.22424
301	13324.83913
302	13298.56927
303	13276.10627
304	13246.29161
305	13218.87079
306	13195.17379
307	13160.2905
308	13120.53593
309	13092.21837
310	13066.70521
311	13032.34211
312	13010.62861
313	12993.53474
314	12965.95131
315	12939.38503
316	12910.73042
317	12883.67243
318	12860.51687
319	12832.72554
320	12819.54974
321	12793.96978
322	12779.57297
323	12758.72418
324	12739.31213
325	12710.686
326	12683.54402
327	12664.14145
328	12626.58407
329	12601.07328
330	12579.06619
331	12559.83178
332	12532.06759
333	12513.60632
334	12488.34238
335	12466.02697
336	12448.0294
337	12422.26965
338	12409.81143
339	12378.64054
340	12346.41775
341	12333.83718
342	12311.57549
343	12284.14885
344	12269.05345
345	12244.45268
346	12215.49631
347	12191.36941
348	12171.57707
349	12141.36313
350	12118.59622
351	12092.97268
352	12070.28375
353	12046.12435
354	12028.08261
355	12008.94254
356	11983.9415
357	11956.75227
358	11932.80398
359	11916.57522
360	11903.87721
361	11877.82604
362	11845.55744
363	11823.27866
364	11799.12979
365	11784.74255
366	11761.75758
367	11739.61489
368	11714.88172
369	11700.761
370	11683.47179
371	11676.12323
372	11650.34634
373	11633.47637
374	11611.49617
375	11590.4137
376	11572.12082
377	11551.99819
378	11529.48499
379	11511.95338
380	11500.92258
381	11484.40907
382	11463.15931
383	11441.63652
384	11421.33711
385	11406.4718
386	11382.33686
387	11356.21518
388	11341.33525
389	11319.53331
390	11303.78855
391	11286.39678
392	11269.00424
393	11254.31861
394	11224.6164
395	11212.61919
396	11196.9991
397	11175.10099
398	11159.00904
399	11138.24152
400	11116.06132
401	11099.56127
402	11076.84074
403	11054.06092
404	11033.76682
405	11014.07626
406	10995.6718
407	10982.07063
408	10964.79935
409	10943.82906
410	10927.15764
411	10907.05999
412	10882.84891
413	10868.40372
414	10850.35765
415	10834.64636
416	10824.08498
417	10810.48688
418	10795.85749
419	10782.9507
420	10765.16677
421	10735.24759
422	10712.55559
423	10693.14935
424	10657.21473
425	10635.92021
426	10612.00791
427	10598.40274
428	10580.52479
429	10567.46584
430	10550.17114
431	10533.55233
432	10517.63321
433	10503.5921
434	10485.51439
435	10468.04927
436	10451.46175
437	10437.18219
438	10424.06674
439	10399.67614
440	10380.90937
441	10360.79102
442	10346.20845
443	10325.51331
444	10305.89677
445	10285.31717
446	10266.75161
447	10257.30449
448	10244.08434
449	10234.87418
450	10229.26131
451	10214.06402
452	10206.26969
453	10197.78508
454	10174.08182
455	10149.64864
456	10127.85625
457	10112.18194
458	10098.46238
459	10088.1678
460	10072.80517
461	10056.39547
462	10039.65791
463	10021.46503
464	10006.57222
465	9989.799252
466	9969.472599
467	9951.468437
468	9939.369613
469	9925.479026
470	9919.150245
471	9903.676251
472	9883.502888
473	9869.959701
474	9856.630303
475	9845.510309
476	9841.663611
477	9827.978495
478	9815.276182
479	9802.660174
480	9776.153178
481	9759.029389
482	9740.843589
483	9727.887755
484	9718.328287
485	9704.373012
486	9693.727399
487	9688.411027
488	9660.609642
489	9643.839146
490	9628.599981
491	9613.477726
492	9598.0246
493	9580.819407
494	9567.962308
495	9550.477369
496	9537.618555
497	9518.627435
498	9507.559986
499	9476.952506
500	9461.912602
501	9445.589678
502	9439.691418
503	9423.290039
504	9407.582164
505	9384.835635
506	9368.435852
507	9355.206188
508	9338.973889
509	9328.323538
510	9307.843027
511	9287.413762
512	9272.337267
513	9254.313628
514	9244.724804
515	9225.183757
516	9206.331954
517	9194.859059
518	9181.675277
519	9168.672644
520	9155.952658
521	9144.021007
522	9141.355333
523	9121.679185
524	9108.026965
525	9093.592602
526	9078.811337
527	9057.616988
528	9044.560521
529	9043.177533
530	9032.254901
531	9025.311274
532	9021.603977
533	9012.787718
534	9011.441914
535	9008.87254
536	8999.289614
537	8982.654699
538	8970.281143
539	8962.162808
540	8955.606824
541	8940.832267
542	8927.426851
543	8908.590699
544	8900.979982
545	8899.714377
546	8880.11072
547	8872.192066
548	8857.030455
549	8842.811338
550	8831.114667
551	8819.985771
552	8814.885239
553	8801.021136
554	8799.899577
555	8790.903795
556	8789.691033
557	8778.27769
558	8767.039027
559	8751.438545
560	8739.518812
561	8729.648047
562	8718.575045
563	8698.990461
564	8690.894385
565	8681.999409
566	8671.149422
567	8653.503694
568	8648.284463
569	8629.823169
570	8607.49615
571	8586.921601
572	8581.901882
573	8567.985239
574	8561.806494
575	8551.870842
576	8542.370846
577	8529.934265
578	8516.349648
579	8514.540946
580	8495.656448
581	8485.4138
582	8470.24059
583	8457.570912
584	8449.067064
585	8448.027801
586	8433.799614
587	8418.081736
588	8403.648093
589	8394.462993
590	8393.21681
591	8392.343772
592	8379.954955
593	8362.327695
594	8348.239995
595	8340.830532
596	8331.664692
597	8317.44093
598	8300.861234
599	8299.921356
600	8287.182228
601	8285.360186
602	8284.41398
603	8277.288741
604	8270.177583
605	8257.147541
606	8250.274271
607	8232.996988
608	8226.138288
609	8218.795618
610	8212.007791
611	8200.926226
612	8189.413939
613	8176.741339
614	8160.537352
615	8153.864005
616	8144.452017
617	8143.220005
618	8133.453618
619	8117.796822
620	8108.274972
621	8098.369079
622	8086.710223
623	8074.79541
624	8062.778394
625	8057.754656
626	8048.619251
627	8039.240623
628	8026.496836
629	8012.181031
630	7997.533484
631	7995.427269
632	7992.84388
633	7989.358138
634	7973.562912
635	7960.347671
636	7947.739695
637	7937.668263
638	7929.264881
639	7925.043437
640	7917.268124
641	7908.334418
642	7904.390379
643	7894.344637
644	7882.244781
645	7880.795778
646	7867.369596
647	7851.579219
648	7841.488874
649	7830.587402
650	7823.315577
651	7808.13393
652	7800.144626
653	7799.286085
654	7784.838981
655	7776.465294
656	7762.26986
657	7747.729965
658	7739.1494
659	7730.877002
660	7726.976958
661	7717.410062
662	7706.175018
663	7702.074449
664	7693.725411
665	7682.547094
666	7675.708031
667	7674.494903
668	7662.696454
669	7653.054604
670	7645.139939
671	7630.852102
672	7619.878276
673	7612.381213
674	7611.397954
675	7610.499136
676	7601.67393
677	7594.250264
678	7588.68231
679	7574.35486
680	7569.317355
681	7564.0253
682	7555.257343
683	7548.087168
684	7544.028837
685	7529.160068
686	7517.132047
687	7501.147341
688	7494.990263
689	7491.186765
690	7490.319685
691	7479.922296
692	7471.323763
693	7470.013475
694	7452.65519
695	7439.360661
696	7432.595735
697	7431.915796
698	7421.234929
699	7408.952176
700	7399.816786
701	7385.88625
702	7377.224833
703	7369.603546
704	7368.59573
705	7367.877091
706	7355.503491
707	7348.737177
708	7338.035961
709	7327.80333
710	7315.754173
711	7307.706665
712	7300.513195
713	7292.777774
714	7285.627428
715	7274.127157
716	7264.688619
717	7258.329546
718	7247.707907
719	7233.786099
720	7226.553299
721	7215.182267
722	7202.681451
723	7188.588798
724	7173.878901
725	7166.934941
726	7152.77561
727	7140.809883
728	7131.019478
729	7125.708274
730	7114.623425
731	7104.286497
732	7094.098906
733	7083.503939
734	7076.208828
735	7064.398038
736	7053.259467
737	7044.96301
738	7037.814363
739	7028.076281
740	7023.399877
741	7022.288841
742	7019.179827
743	7005.509902
744	6994.248458
745	6992.744265
746	6982.06793
747	6979.175196
748	6963.334533
749	6952.876221
750	6936.626353
751	6932.388388
752	6922.325509
753	6921.155192
754	6910.202602
755	6901.937452
756	6894.963531
757	6885.187818
758	6876.556204
759	6867.463256
760	6863.031955
761	6856.515563
762	6845.870557
763	6837.038264
764	6836.106037
765	6819.288789
766	6807.452526
767	6806.377102
768	6802.785644
769	6801.026234
770	6794.478194
771	6785.471584
772	6780.775977
773	6774.998495
774	6770.729004
775	6761.937668
776	6760.970722
777	6745.004379
778	6742.111699
779	6739.151932
780	6731.592941
781	6720.763644
782	6711.186672
783	6700.82631
784	6688.184206
785	6679.228648
786	6672.071429
787	6670.660412
788	6662.141169
789	6655.472269
790	6650.398922
791	6649.618455
792	6639.200884
793	6633.016049
794	6622.193842
795	6614.971298
796	6610.664078
797	6604.171782
798	6591.833182
799	6578.225379
800	6574.621884
801	6570.883405
802	6565.175489
803	6557.762307
804	6553.375572
805	6548.201992
806	6547.52147
807	6537.75814
808	6529.409615
809	6521.13944
810	6517.307771
811	6502.475294
812	6498.249018
813	6490.34798
814	6483.731849
815	6478.465232
816	6471.896424
817	6460.429225
818	6454.231041
819	6449.319093
820	6444.823733
821	6436.280368
822	6429.758659
823	6422.517211
824	6419.145123
825	6411.098384
826	6406.564582
827	6395.351764
828	6390.861713
829	6383.919232
830	6382.003042
831	6376.293757
832	6370.969303
833	6362.667558
834	6357.24137
835	6351.896433
836	6347.046255
837	6342.047548
838	6339.835151
839	6335.020699
840	6327.306149
841	6317.740183
842	6316.357323
843	6311.224513
844	6310.439136
845	6304.416589
846	6295.449193
847	6286.105153
848	6279.205273
849	6271.935949
850	6266.548329
851	6256.878885
852	6250.493646
853	6248.208607
854	6245.039029
855	6233.080031
856	6232.272999
857	6229.464697
858	6219.65325
859	6213.024504
860	6202.910718
861	6202.31113
862	6199.747098
863	6193.467312
864	6187.454577
865	6176.727398
866	6171.201861
867	6163.76298
868	6156.586957
869	6155.177958
870	6151.562487
871	6148.318932
872	6141.84477
873	6137.610595
874	6128.53128
875	6125.554048
876	6122.843235
877	6117.22905
878	6113.48978
879	6105.254355
880	6104.388715
881	6103.745537
882	6101.19299
883	6092.990922
884	6086.45175
885	6082.710598
886	6082.223189
887	6077.165221
888	6066.512941
889	6051.2046
890	6041.0058
891	6032.917895
892	6032.122221
893	6025.464051
894	6019.809465
895	6015.991171
896	6008.841758
897	6005.560812
898	5993.900862
899	5993.162985
900	5992.50129
901	5982.186754
902	5975.301865
903	5969.015025
904	5963.532938
905	5958.967642
906	5953.656856
907	5945.435246
908	5937.06597
909	5933.527917
910	5924.192263
911	5919.605293
912	5914.850454
913	5912.613773
914	5908.968904
915	5906.954265
916	5898.227254
917	5892.118624
918	5887.495628
919	5879.885204
920	5878.900891
921	5872.909186
922	5867.51373
923	5863.422521
924	5858.372034
925	5855.753481
926	5851.039886
927	5845.624269
928	5840.152307
929	5829.925408
930	5822.163636
931	5818.246092
932	5812.616396
933	5807.07131
934	5799.013429
935	5798.361502
936	5790.85754
937	5787.125504
938	5780.619452
939	5768.934886
940	5764.908343
941	5764.237977
942	5757.696683
943	5752.860037
944	5751.117365
945	5742.50696
946	5733.093123
947	5727.773554
948	5727.148473
949	5721.977498
950	5721.38444
951	5718.714006
952	5710.396578
953	5695.207465
954	5691.782174
955	5689.728172
956	5689.366169
957	5680.038143
958	5674.358736
959	5673.799679
960	5669.535268
961	5663.823154
962	5655.91716
963	5646.853983
964	5646.141429
965	5640.032029
966	5635.788912
967	5633.86063
968	5624.529334
969	5621.382914
970	5617.155514
971	5612.256389
972	5607.983027
973	5604.291884
974	5596.4226
975	5586.785774
976	5582.492385
977	5575.769088
978	5568.409529
979	5559.605228
980	5556.535435
981	5550.124018
982	5544.087007
983	5538.500337
984	5533.038833
985	5526.639001
986	5518.355514
987	5515.450986
988	5510.95888
989	5503.344852
990	5499.90172
991	5499.091683
992	5492.910455
993	5492.400829
994	5488.727294
995	5485.395477
996	5479.829232
997	5469.018607
998	5460.274996
999	5450.336077
